chr;start;end;length;abs_summit;pileup;LOG10(pvalue);fold_enrichment;LOG10(qvalue);name
chr6;121649789;121654485;4697;121652049;1176,65;2045,60925;130,84962;2040,37158;mDUX-rep1-peak.16969
chr16;98021761;98023939;2179;98022803;1111,75;1981,95544;142,2719;1976,73645;mDUX-rep1-peak.8707
chr14;20216270;20217812;1543;20217086;1523,32;1952,88379;49,17167;1947,6709;mDUX-rep1-peak.6442
chr9;29224453;29226731;2279;29225848;1191,16;1914,61377;99,34689;1909,40881;mDUX-rep1-peak.19599
chr3;94262146;94264012;1867;94263088;1069,91;1889,3822;136,92239;1884,18408;mDUX-rep1-peak.12675
chr2;72715875;72717921;2047;72717021;1051,13;1838,18787;131,51578;1833,00049;mDUX-rep1-peak.11072
chr19;42135370;42137520;2151;42136440;1127,98;1831,38586;102,63413;1826,19995;mDUX-rep1-peak.10341
chr13;54198528;54200062;1535;54199227;1066,5;1822,42163;121,61732;1817,23828;mDUX-rep1-peak.5139
chr16;30552264;30553157;894;30552730;1332,05;1817,01941;58,78954;1811,83728;mDUX-rep1-peak.8253
chr7;118870113;118871403;1291;118870819;1016,97;1773,58752;130,15363;1768,41687;mDUX-rep1-peak.18148
chr15;102596397;102597534;1138;102596954;1014,41;1769,24072;129,82611;1764,07117;mDUX-rep1-peak.8003
chr5;110482157;110482929;773;110482546;1268,87;1749,78882;60,78821;1744,62439;mDUX-rep1-peak.15681
chr4;120896168;120897286;1119;120896782;1172,38;1735,58826;75,5312;1730,42944;mDUX-rep1-peak.14050
chr11;89029974;89031074;1101;89030434;1375,6;1723,44495;45,88669;1718,28979;mDUX-rep1-peak.3320
chr13;65796270;65797403;1134;65796728;990,5;1717,21753;126,76925;1712,06396;mDUX-rep1-peak.5299
chr7;11165615;11167511;1897;11166266;980,25;1695,61548;125,45916;1690,46912;mDUX-rep1-peak.17280
chr7;36894285;36896265;1981;36895428;1039,17;1665,20911;97,07172;1660,07214;mDUX-rep1-peak.17520
chr3;94093633;94095072;1440;94094549;960,61;1652,54395;122,94817;1647,41077;mDUX-rep1-peak.12664
chr13;66047529;66048552;1024;66047961;948,66;1626,78796;121,41974;1621,66296;mDUX-rep1-peak.5318
chr19;29675255;29676475;1221;29675859;1004,16;1622,55676;99,4866;1617,43347;mDUX-rep1-peak.10229
chr2;120353773;120355078;1306;120354560;935,85;1588,5249;117,10656;1583,41602;mDUX-rep1-peak.11468
chr3;38170858;38172645;1788;38171996;930,73;1588,27698;119,12709;1583,16821;mDUX-rep1-peak.12217
chr13;65682343;65684140;1798;65683530;1016,97;1574,98267;86,74288;1569,87927;mDUX-rep1-peak.5294
chr12;36164809;36166053;1245;36165435;923,04;1573,34119;118,14453;1568,23828;mDUX-rep1-peak.3841
chr4;108435896;108437055;1160;108436436;923,04;1573,34119;118,14453;1568,23828;mDUX-rep1-peak.13939
chr5;116556626;116558094;1469;116557391;990,5;1553,95923;90,13644;1548,86414;mDUX-rep1-peak.15730
chr6;82703534;82704601;1068;82704084;1123,71;1536,25427;58,79126;1531,16541;mDUX-rep1-peak.16651
chr6;142951045;142953005;1961;142952588;979,4;1534,35034;89,57518;1529,26233;mDUX-rep1-peak.17124
chr10;7611855;7612998;1144;7612344;904,26;1532,91785;115,74271;1527,83044;mDUX-rep1-peak.1510
chr7;51156543;51159609;3067;51157999;904,26;1532,91785;115,74271;1527,83044;mDUX-rep1-peak.17648
chr2;4292258;4294061;1804;4293098;899,14;1522,30872;115,08767;1517,22534;mDUX-rep1-peak.10565
chr6;32705642;32707706;2065;32706640;899,99;1522,30872;115,19684;1517,22534;mDUX-rep1-peak.16277
chr16;15759889;15761490;1602;15760708;894,01;1511,71179;114,43262;1506,63281;mDUX-rep1-peak.8147
chr2;109040966;109041946;981;109041517;894,87;1511,71179;114,5418;1506,63281;mDUX-rep1-peak.11384
chr11;5254739;5256218;1480;5255483;921,34;1505,76636;102,48183;1500,69043;mDUX-rep1-peak.2612
chr15;24309944;24311020;1077;24310450;888,89;1499,01135;113,77758;1493,93884;mDUX-rep1-peak.7452
chr8;78196521;78198081;1561;78197514;892,3;1497,52478;111,66307;1492,45337;mDUX-rep1-peak.19057
chr5;128880837;128881854;1018;128881275;1091,26;1495,11145;58,98203;1490,04126;mDUX-rep1-peak.15827
chr8;19946569;19948101;1533;19947265;884,62;1490,55408;113,23172;1485,48633;mDUX-rep1-peak.18519
chr13;120131343;120134560;3218;120133614;873,52;1467,33691;111,81246;1462,28137;mDUX-rep1-peak.5806
chr15;12655979;12657717;1739;12657154;867,54;1454,69836;111,04824;1449,65015;mDUX-rep1-peak.7388
chr5;26031569;26033073;1505;26032198;871,81;1445,96802;107,22501;1440,9248;mDUX-rep1-peak.15034
chr5;104107175;104109711;2537;104109156;858,15;1435,77466;109,84734;1430,73633;mDUX-rep1-peak.15618
chr13;57642251;57643978;1728;57643282;855,59;1429,47583;109,51982;1424,44055;mDUX-rep1-peak.5163
chr8;111656817;111658540;1724;111657773;869,25;1426,0719;103,03692;1421,03833;mDUX-rep1-peak.19312
chr4;18738444;18739458;1015;18739044;849,61;1416,89185;108,7556;1411,8634;mDUX-rep1-peak.13308
chr10;65215887;65217443;1557;65216860;848,76;1414,79626;108,64642;1409,76868;mDUX-rep1-peak.1983
chr3;79296700;79298209;1510;79297400;847,9;1412,70117;108,53725;1407,6748;mDUX-rep1-peak.12495
chr9;3012786;3019370;6585;3015307;27809,16;1412,14075;1,6911;1407,11536;mDUX-rep1-peak.19400
chr12;108510661;108511808;1148;108511286;953,78;1409,73755;74,11193;1404,71326;mDUX-rep1-peak.4460
chr15;102601999;102603306;1308;102602861;839,36;1395,95947;107,44551;1390,94287;mDUX-rep1-peak.8004
chr3;121620445;121621556;1112;121621036;825,7;1366,74084;105,69874;1361,74109;mDUX-rep1-peak.12920
chr2;113175866;113177859;1994;113176572;824,85;1364,65771;105,58957;1359,65942;mDUX-rep1-peak.11416
chr2;64730187;64730910;724;64730573;821,43;1358,41138;105,15287;1353,41711;mDUX-rep1-peak.10974
chr8;61243130;61243920;791;61243584;818,87;1352,16992;104,82535;1347,17993;mDUX-rep1-peak.18929
chr2;166303857;166304923;1067;166304457;920,48;1323,30078;67,64417;1318,32983;mDUX-rep1-peak.11822
chr5;65574473;65575637;1165;65575045;804,35;1323,10645;102,96939;1318,13562;mDUX-rep1-peak.15343
chr17;25441972;25443361;1390;25442261;999,04;1317,66174;52,34439;1312,6947;mDUX-rep1-peak.8889
chr12;88272596;88275663;3068;88274628;1039,17;1301,38306;45,22487;1296,42639;mDUX-rep1-peak.4328
chr17;78240511;78241693;1183;78241076;791,55;1296,2135;101,33179;1291,25964;mDUX-rep1-peak.9280
chr10;117180755;117181945;1191;117181353;788,13;1290,02051;100,8951;1285,06995;mDUX-rep1-peak.2443
chr19;21602823;21604249;1427;21603467;813,75;1285,94214;90,52751;1280,99402;mDUX-rep1-peak.10161
chr7;11607598;11610191;2594;11609117;786,42;1285,89465;100,67675;1280,94666;mDUX-rep1-peak.17293
chr10;88373225;88374563;1339;88373788;812,04;1283,93457;90,33776;1278,98779;mDUX-rep1-peak.2180
chr14;4077384;4081589;4206;4078938;961,47;1281,72302;53,98031;1276,77783;mDUX-rep1-peak.5912
chr6;144949633;144950981;1349;144950319;1092,97;1278,85254;37,72298;1273,90918;mDUX-rep1-peak.17140
chr1;134348304;134349314;1011;134348751;801,79;1273,8844;91,99489;1268,9436;mDUX-rep1-peak.955
chr13;58470707;58472557;1851;58472118;954,64;1265,33826;53,09099;1260,40271;mDUX-rep1-peak.5179
chr19;36953490;36954604;1115;36954049;776,18;1265,29834;99,36667;1260,36279;mDUX-rep1-peak.10291
chr5;38655244;38657676;2433;38656474;907,67;1258,87036;60,5783;1253,93909;mDUX-rep1-peak.15167
chrX;56709679;56710874;1196;56710251;765,08;1242,7074;97,94741;1237,7854;mDUX-rep1-peak.20583
chr7;11476481;11478533;2053;11477868;847,05;1234,65381;69,98258;1229,73694;mDUX-rep1-peak.17290
chr9;60181330;60182273;944;60181766;783,86;1225,95056;87,20687;1221,03918;mDUX-rep1-peak.19868
chr10;117723364;117724615;1252;117723908;773,62;1220,94922;89,5509;1216,04089;mDUX-rep1-peak.2455
chr8;83785371;83786420;1050;83785943;856,44;1220,9364;65,51858;1216,02808;mDUX-rep1-peak.19089
chr3;93875745;93877751;2007;93876994;753,98;1218,14062;96,52815;1213,23376;mDUX-rep1-peak.12648
chr2;126619626;126620511;886;126620225;782,15;1214,15479;84,78905;1209,25085;mDUX-rep1-peak.11530
chr3;94054702;94056841;2140;94055839;748,85;1207,92883;95,87311;1203,02808;mDUX-rep1-peak.12661
chr7;68803179;68804325;1147;68803803;744,58;1199,7699;95,32725;1194,87463;mDUX-rep1-peak.17755
chr15;24315741;24316775;1035;24316382;736,9;1183,47998;94,34468;1178,59497;mDUX-rep1-peak.7455
chr15;73802087;73803160;1074;73802582;1051,98;1183,27869;33,9671;1178,39441;mDUX-rep1-peak.7784
chr5;101989269;101990326;1058;101989821;732,63;1175,34912;93,79881;1170,46924;mDUX-rep1-peak.15598
chr10;70823080;70824405;1326;70823762;900,84;1171,52539;50,10241;1166,64758;mDUX-rep1-peak.2036
chr19;26876468;26878011;1544;26877036;730,92;1171,28711;93,58047;1166,4093;mDUX-rep1-peak.10203
chrM;4;16250;16247;12834;2779,38;1166,45862;6,03119;1161,58423;mDUX-rep1-peak.20375
chr12;105758441;105759739;1299;105759137;715,55;1140,89893;91,61535;1136,04126;mDUX-rep1-peak.4451
chr5;34776255;34777540;1286;34776939;712,99;1134,83765;91,28783;1129,98389;mDUX-rep1-peak.15142
chr10;67002917;67004023;1107;67003344;971,72;1119,5387;36,01316;1114,69543;mDUX-rep1-peak.1994
chr2;146168894;146170077;1184;146169626;949,51;1117,35767;38,02058;1112,51587;mDUX-rep1-peak.11663
chr3;135567715;135569338;1624;135568163;754,83;1114,08411;72,25562;1109,24451;mDUX-rep1-peak.13024
chr10;120413094;120414344;1251;120413808;811,19;1112,88342;58,01328;1108,04431;mDUX-rep1-peak.2494
chr4;48743195;48744527;1333;48744018;701,89;1112,65967;89,86856;1107,82068;mDUX-rep1-peak.13507
chr16;82976573;82977588;1016;82977113;700,18;1110,64722;89,65022;1105,81006;mDUX-rep1-peak.8608
chr5;138693068;138694301;1234;138693854;719,82;1105,35632;81,41188;1100,52283;mDUX-rep1-peak.15902
chr13;53261069;53262105;1037;53261602;760,81;1104,23242;68,64364;1099,39978;mDUX-rep1-peak.5132
chr7;25842962;25844117;1156;25843647;693,35;1096,57727;88,77682;1091,74963;mDUX-rep1-peak.17450
chr3;32493772;32495404;1633;32494491;736,04;1095,65552;73,6934;1090,82886;mDUX-rep1-peak.12157
chr2;19475458;19477437;1980;19476260;690,79;1090,55676;88,44931;1085,73328;mDUX-rep1-peak.10669
chr8;48197246;48198222;977;48197823;783,01;1082,9917;59,2151;1078,17322;mDUX-rep1-peak.18858
chr15;37726389;37727559;1171;37726943;706,16;1074,30212;78,5732;1069,49048;mDUX-rep1-peak.7553
chr7;78491454;78492571;1118;78491885;736,9;1072,36389;69,02699;1067,55334;mDUX-rep1-peak.17832
chr1_GL456210_random;2717;4645;1929;4038;700,18;1061,41309;77,62874;1056,60962;mDUX-rep1-peak.10478
chr11;49805561;49806760;1200;49806114;678,83;1058,98303;84,97932;1054,18115;mDUX-rep1-peak.2979
chr8;105233294;105234919;1626;105233693;665,17;1040,6073;85,1741;1035,81714;mDUX-rep1-peak.19248
chr1;24611548;24616169;4622;24613279;1622,37;1036,54944;10,68008;1031,76221;mDUX-rep1-peak.168
chr9;42984386;42985903;1518;42985051;662,61;1034,64038;84,84658;1029,854;mDUX-rep1-peak.19719
chr1;118729622;118730687;1066;118730205;708,72;1032,9856;69,02552;1028,2002;mDUX-rep1-peak.847
chr4;116542063;116543124;1062;116542658;658,34;1026,69373;84,30071;1021,91309;mDUX-rep1-peak.14000
chr9;43984988;43986068;1081;43985690;841,07;1024,22424;41,3703;1019,44519;mDUX-rep1-peak.19736
chr2;73248393;73249462;1070;73248981;651,51;1012,81238;83,42732;1008,04004;mDUX-rep1-peak.11080
chr12;90561112;90561966;855;90561488;650,66;1010,83197;83,31815;1006,06085;mDUX-rep1-peak.4343
chr13;99152750;99153779;1030;99153189;749,71;1008,80927;54,59684;1004,03979;mDUX-rep1-peak.5620
chr13;99969715;99970449;735;99970299;648,95;1006,87329;83,0998;1002,10461;mDUX-rep1-peak.5637
chr2;169097325;169098298;974;169097820;683,96;1006,09271;70,83329;1001,32501;mDUX-rep1-peak.11843
chr1;85105989;85106990;1002;85106430;738,61;1000,94446;55,64715;996,17963;mDUX-rep1-peak.628
chr3;68844681;68845758;1078;68845256;645,53;1000,94012;82,66311;996,17529;mDUX-rep1-peak.12426
chr6;4910116;4911378;1263;4910830;640,41;991,06512;82,00806;986,3075;mDUX-rep1-peak.16079
chr10;7623585;7624751;1167;7624234;643,83;989,83307;80,60319;985,07654;mDUX-rep1-peak.1512
chr2;34601389;34602661;1273;34602180;660,9;987,89526;74,11714;983,13983;mDUX-rep1-peak.10773
chr19;53044487;53045773;1287;53045130;670,3;984,8855;70,16051;980,13257;mDUX-rep1-peak.10418
chr8;72521531;72522720;1190;72522099;649,8;983,4328;76,8226;978,68042;mDUX-rep1-peak.19010
chr9;34446372;34447520;1149;34446850;722,38;979,94733;55,6448;975,19769;mDUX-rep1-peak.19650
chr10;110706978;110708071;1094;110707504;632,73;975,30011;81,02551;970,55334;mDUX-rep1-peak.2393
chr15;51937846;51940002;2157;51938600;632,73;975,30011;81,02551;970,55334;mDUX-rep1-peak.7640
chr1;85182732;85183975;1244;85183403;647,24;972,98761;74,94116;968,2428;mDUX-rep1-peak.634
chr7;10904128;10906501;2374;10905132;629,31;969,3996;80,58881;964,6568;mDUX-rep1-peak.17274
chr11;88437828;88438926;1099;88438450;826,56;954,83319;35,98069;950,10059;mDUX-rep1-peak.3305
chr1;82007489;82008441;953;82008000;621,62;953,69501;79,60625;948,96289;mDUX-rep1-peak.570
chr13;73107006;73108566;1561;73107718;682,25;942,40112;58,34758;937,67651;mDUX-rep1-peak.5428
chr1;24245873;24246843;971;24246280;618,21;940,94299;77,40114;936,21954;mDUX-rep1-peak.165
chr5;21718468;21719774;1307;21718869;666,88;938,42163;61,74072;933,69952;mDUX-rep1-peak.14990
chr15;12274831;12275939;1109;12275392;612,23;936,08093;78,40533;931,3606;mDUX-rep1-peak.7385
chr5;32000445;32001328;884;32000904;613,09;935,58417;77,88026;930,86438;mDUX-rep1-peak.15113
chr6;29825884;29827137;1254;29826485;610,52;932,17432;78,18699;927,45636;mDUX-rep1-peak.16244
chr4;146483784;146485330;1547;146484267;1203,12;931,51764;14,86564;926,80042;mDUX-rep1-peak.14423
chr14;91655606;91656720;1115;91655905;609,67;930,22211;78,07781;925,50537;mDUX-rep1-peak.7082
chr12;4912973;4913890;918;4913502;629,31;928,65741;70,57943;923,94183;mDUX-rep1-peak.3577
chr2;84782285;84783328;1044;84782821;607,11;926,3197;77,75029;921,60559;mDUX-rep1-peak.11210
chr18;69435254;69436602;1349;69435816;674,57;920,27551;56,2971;915,56653;mDUX-rep1-peak.9891
chr2;84728506;84729638;1133;84729060;656,63;917,94843;60,3666;913,24078;mDUX-rep1-peak.11208
chr5;135166993;135168067;1075;135167583;636,99;916,03351;65,63054;911,32739;mDUX-rep1-peak.15876
chr15;47136290;47137411;1122;47136850;601,99;914,63025;77,09525;909,92511;mDUX-rep1-peak.7618
chr8;64971974;64973184;1211;64972582;601,99;914,63025;77,09525;909,92511;mDUX-rep1-peak.18956
chr1;85503399;85504692;1294;85504042;666,88;905,99011;55,65669;901,29144;mDUX-rep1-peak.653
chr1;171259993;171260948;956;171260532;674,57;902,38306;53,17527;897,68707;mDUX-rep1-peak.1283
chr4;4943998;4945334;1337;4944684;592,59;897,14465;75,89434;892,45221;mDUX-rep1-peak.13217
chr11;69714378;69715209;832;69714816;746,29;896,55664;39,64409;891,86487;mDUX-rep1-peak.3143
chr6;82612788;82613779;992;82613228;608,82;889,74353;68,48022;885,05646;mDUX-rep1-peak.16648
chr7;120149675;120150815;1141;120150381;591,74;888,63446;74,09235;883,9483;mDUX-rep1-peak.18160
chr1;82402339;82403381;1043;82402879;586,62;885,52063;75,13013;880,83624;mDUX-rep1-peak.575
chr13;47842270;47843265;996;47842776;586,62;885,52063;75,13013;880,83624;mDUX-rep1-peak.5082
chr12;70209594;70210560;967;70210111;587,47;885,11023;74,63151;880,42633;mDUX-rep1-peak.4077
chr11;22607450;22608512;1063;22607949;584,91;881,65179;74,91178;876,96979;mDUX-rep1-peak.2770
chr2;26656736;26657919;1184;26657214;584,91;881,65179;74,91178;876,96979;mDUX-rep1-peak.10724
chr8;85702083;85703629;1547;85702721;584,05;881,65179;74,8026;876,96979;mDUX-rep1-peak.19103
chr13;81724811;81725970;1160;81725397;583,2;879,71851;74,69343;875,03802;mDUX-rep1-peak.5488
chr12;21585826;21587744;1919;21587074;606,25;879,34241;66,66537;874,66248;mDUX-rep1-peak.3725
chr8;79886350;79887353;1004;79886885;582,35;877,78595;74,58426;873,10687;mDUX-rep1-peak.19069
chr2;130155745;130156791;1047;130156304;696,77;876,95105;44,91574;872,27295;mDUX-rep1-peak.11555
chr11;84846438;84847916;1479;84847015;580,64;873,9231;74,36591;869,24683;mDUX-rep1-peak.3277
chr3;100660990;100661922;933;100661428;601,13;873,46936;66,9035;868,79376;mDUX-rep1-peak.12747
chr12;33234350;33235070;721;33234892;579,78;871,99274;74,25674;867,31787;mDUX-rep1-peak.3816
chr19;31044717;31045879;1163;31045334;578,08;870,06317;74,03839;865,38965;mDUX-rep1-peak.10243
chr9;35388291;35389155;865;35388686;578,93;870,06317;74,14756;865,38965;mDUX-rep1-peak.19659
chr19;38048055;38048939;885;38048467;577,22;868,13434;73,92922;863,46271;mDUX-rep1-peak.10306
chr1;146416688;146417803;1116;146417190;571,25;856,57733;73,165;851,91449;mDUX-rep1-peak.1060
chr12;99611831;99613020;1190;99612404;590,88;855,07703;66,27679;850,41547;mDUX-rep1-peak.4399
chr11;33048413;33049384;972;33048901;648,95;853,21545;50,55017;848,55518;mDUX-rep1-peak.2875
chr1;55057179;55058258;1080;55057666;601,99;852,73254;62,3563;848,07257;mDUX-rep1-peak.373
chr6;42009418;42010354;937;42009705;569,54;852,73102;72,94666;848,07111;mDUX-rep1-peak.16340
chr9;109051828;109052629;802;109052209;798,38;851,29388;29,31883;846,63513;mDUX-rep1-peak.20261
chr1;87609192;87610217;1026;87609663;597,72;849,92816;62,91016;845,27051;mDUX-rep1-peak.690
chr10;45176911;45178403;1493;45177891;567,83;848,88763;72,72831;844,23065;mDUX-rep1-peak.1840
chr4;34981241;34982340;1100;34981742;672;847,51447;44,8669;842,85858;mDUX-rep1-peak.13412
chr12;33228689;33229513;825;33228989;566,98;846,96716;72,61913;842,31158;mDUX-rep1-peak.3815
chr15;55499762;55501078;1317;55500399;566,12;846,96716;72,50996;842,31158;mDUX-rep1-peak.7670
chr13;40648870;40650471;1602;40649844;669,44;842,47064;44,69613;837,8194;mDUX-rep1-peak.5008
chr3;93806695;93808745;2051;93808322;587,47;842,27667;64,24339;837,62549;mDUX-rep1-peak.12635
chr1;16625344;16626489;1146;16625916;562,71;839,29291;72,07327;834,64368;mDUX-rep1-peak.124
chr15;8700622;8701716;1095;8701089;596,01;833,98956;59,70082;829,34479;mDUX-rep1-peak.7348
chr12;101966557;101967812;1256;101967306;558,44;831,63086;71,5274;826,98785;mDUX-rep1-peak.4426
chr18;46356824;46357679;856;46357256;697,62;826,35828;38,09269;821,71918;mDUX-rep1-peak.9697
chr10;83767760;83769074;1315;83768524;554,17;823,98132;70,98153;819,34436;mDUX-rep1-peak.2133
chr2;35595337;35596217;881;35595749;727,51;820,91534;33,64146;816,28082;mDUX-rep1-peak.10786
chr7;15438728;15440910;2183;15440390;656,63;820,68195;43,84225;816,04749;mDUX-rep1-peak.17373
chr17;26502263;26503216;954;26502824;652,36;813,505;43,48515;808,87646;mDUX-rep1-peak.8895
chr11;6894974;6895949;976;6895435;612,23;811,51282;51,25215;806,88574;mDUX-rep1-peak.2639
chr2;91972175;91973122;948;91972642;728,36;803,07349;31,71129;798,45276;mDUX-rep1-peak.11258
chr3;94006816;94007745;930;94007338;543,92;803,00983;69,67145;798,38916;mDUX-rep1-peak.12659
chr11;64034637;64036033;1397;64035351;654,93;802,06702;41,54059;797,44769;mDUX-rep1-peak.3101
chr15;98967452;98969852;2401;98968280;541,36;799,20721;69,34393;794,59015;mDUX-rep1-peak.7967
chr2;102379869;102381075;1207;102380549;541,36;799,20721;69,34393;794,59015;mDUX-rep1-peak.11305
chr18;65183812;65185217;1406;65184743;631,87;799,0036;45,20509;794,38708;mDUX-rep1-peak.9836
chr1;156192489;156193684;1196;156193059;538,8;793,50922;69,0164;788,89618;mDUX-rep1-peak.1142
chr9;3000051;3004832;4782;3000533;51103,86;791,77142;1,32191;787,15967;mDUX-rep1-peak.19398
chr4;147306132;147307132;1001;147306730;594,3;791,63574;51,85318;787,02405;mDUX-rep1-peak.14571
chr12;87323401;87324987;1587;87324050;536,24;789,7146;68,68888;785,1051;mDUX-rep1-peak.4272
chr9;35394133;35395199;1067;35394652;536,24;789,7146;68,68888;785,1051;mDUX-rep1-peak.19660
chr8;56748925;56750257;1333;56749909;535,38;787,81854;68,57971;783,21057;mDUX-rep1-peak.18905
chr9;122334376;122335322;947;122334898;535,38;787,81854;68,57971;783,21057;mDUX-rep1-peak.20353
chr14;38956503;38957653;1151;38957037;532,82;782,13495;68,25219;777,53162;mDUX-rep1-peak.6578
chr3;71281227;71282166;940;71281663;531,97;780,24207;68,14301;775,6402;mDUX-rep1-peak.12455
chr17;88141142;88142261;1120;88141557;631,87;779,0965;42,19141;774,49634;mDUX-rep1-peak.9353
chr1;88219834;88221549;1716;88220539;556,73;778,42755;59,3993;773,82782;mDUX-rep1-peak.696
chr11;78104493;78105638;1146;78105138;530,26;778,35004;67,92467;773,75037;mDUX-rep1-peak.3213
chr6;112683613;112684743;1131;112684197;530,26;778,35004;67,92467;773,75037;mDUX-rep1-peak.16896
chr18;56699002;56700371;1370;56699604;528,55;774,56836;67,70632;769,97168;mDUX-rep1-peak.9781
chr13;54117975;54119018;1044;54118600;549,9;769,29175;59,47946;764,69922;mDUX-rep1-peak.5137
chr18;10706759;10707691;933;10707232;641,26;766,98804;38,79576;762,39838;mDUX-rep1-peak.9459
chr4;108670062;108671227;1166;108670749;523,43;765,12866;67,05128;760,53992;mDUX-rep1-peak.13946
chr6;32937835;32939515;1681;32938357;522,57;763,2431;66,9421;758,65594;mDUX-rep1-peak.16278
chr7;104770268;104773220;2953;104771621;555,02;759,90845;55,6022;755,32416;mDUX-rep1-peak.18026
chr5;95837906;95839211;1306;95838501;520,87;759,47473;66,72376;754,89069;mDUX-rep1-peak.15558
chr10;22055128;22056097;970;22055626;554,17;755,40643;54,9481;750,8269;mDUX-rep1-peak.1628
chr13;48942068;48943068;1001;48942595;623,33;747,61536;39,02077;743,04218;mDUX-rep1-peak.5093
chr2;90554521;90555811;1291;90555026;549,9;747,14771;54,6635;742,57477;mDUX-rep1-peak.11244
chr1_GL456210_random;117302;118814;1513;118062;513,18;746,31134;65,7412;741,73883;mDUX-rep1-peak.10487
chr9;13634804;13635912;1109;13635389;512,33;744,43427;65,63203;739,86322;mDUX-rep1-peak.19475
chr8;83744147;83745030;884;83744622;647,24;743,69507;34,95692;739,12482;mDUX-rep1-peak.19088
chr12;26351190;26352068;879;26351640;511,47;742,55804;65,52285;737,98822;mDUX-rep1-peak.3775
chr9;122328275;122329530;1256;122328921;511,47;742,55804;65,52285;737,98822;mDUX-rep1-peak.20352
chr2;181809265;181810627;1363;181809856;509,77;738,80804;65,3045;734,24103;mDUX-rep1-peak.11951
chr13;23741649;23742578;930;23742133;607,96;736,31891;40,1214;731,75482;mDUX-rep1-peak.4885
chr2;73006511;73007568;1058;73006968;533,67;733,27588;56,18104;728,71381;mDUX-rep1-peak.11077
