chr;start;end;length;abs_summit;pileup;LOG10(pvalue);fold_enrichment;LOG10(qvalue);name
chr19;21602832;21604281;1450;21603468;1204,55;2256,13647;172,22087;2250,50195;mDUX-rep2-peak.14713
chr15;24315600;24316778;1179;24316383;1196;2239,06787;171,38161;2233,44287;mDUX-rep2-peak.10785
chr12;88273019;88275722;2704;88274627;1515,89;2235,19653;75,84434;2229,57373;mDUX-rep2-peak.6402
chr3;38171389;38172423;1035;38171996;1176,07;2193,11572;168,52763;2187,51221;mDUX-rep2-peak.17645
chr16;30552317;30553132;816;30552729;1468,43;2185,45044;77,95364;2179,85034;mDUX-rep2-peak.11988
chr8;19946693;19947962;1270;19947272;1166,58;2170,19482;167,16861;2164,60107;mDUX-rep2-peak.26546
chr1;85503497;85505029;1533;85504042;1228,28;2146,38403;133,76239;2140,80249;mDUX-rep2-peak.980
chr9;43930624;43931531;908;43931065;1305,16;2137,01855;106,75623;2131,44189;mDUX-rep2-peak.28296
chr2;72716372;72717659;1288;72717021;1149,49;2131,31445;164,72234;2125,74048;mDUX-rep2-peak.16023
chr13;120132609;120134259;1651;120133616;1148,54;2129,03101;164,58643;2123,45874;mDUX-rep2-peak.8475
chr14;20216326;20217822;1497;20217086;1581,38;2123,39185;56,51365;2117,82349;mDUX-rep2-peak.9365
chr5;110482177;110482895;719;110482545;1353,57;2017,07056;77,93855;2011,56287;mDUX-rep2-peak.22420
chr7;10798747;10799851;1105;10799164;1090,64;1997,23523;156,29631;1991,73694;mDUX-rep2-peak.24699
chr1_GL456210_random;117314;118721;1408;118044;1065,01;1940,83557;152,62692;1935,36462;mDUX-rep2-peak.15204
chr8;78196729;78198199;1471;78197514;1097,29;1938,76624;137,28569;1933,29688;mDUX-rep2-peak.27308
chr3;93817291;93821461;4171;93819945;1058,37;1921,84766;150,75681;1916,38745;mDUX-rep2-peak.18221
chr19;29675321;29676283;963;29675860;1092,54;1895,44812;128,69714;1890,00293;mDUX-rep2-peak.14819
chr7;36894320;36896286;1967;36895429;1106,78;1894,72058;123,07275;1889,27576;mDUX-rep2-peak.25131
chr19;53057683;53059127;1445;53058460;1235,87;1876,35388;82,45801;1870,91895;mDUX-rep2-peak.15104
chr13;57642253;57643733;1481;57643283;1028,94;1857,83264;147,46259;1852,40662;mDUX-rep2-peak.7543
chr14;4078440;4080469;2030;4078914;1199,8;1852,30347;86,9515;1846,88049;mDUX-rep2-peak.8620
chr3;94262225;94264042;1818;94263088;1025,15;1851,12769;146,91899;1845,70508;mDUX-rep2-peak.18273
chr9;35388300;35389794;1495;35388690;1022,3;1844,42615;146,51128;1839,00708;mDUX-rep2-peak.28179
chr16;98021879;98023199;1321;98022805;1020,4;1839,96094;146,23946;1834,54443;mDUX-rep2-peak.12617
chr6;82703597;82704474;878;82704084;1230,17;1832,61218;77,2817;1827,19971;mDUX-rep2-peak.23793
chr4;108435856;108436930;1075;108436436;1009,96;1815,43152;144,74452;1810,02686;mDUX-rep2-peak.20040
chr7;118870361;118871289;929;118870819;998,57;1790,95557;143,11368;1785,56482;mDUX-rep2-peak.26024
chr6;121649950;121652572;2623;121652058;996,67;1786,51111;142,84187;1781,12244;mDUX-rep2-peak.24235
chr3;32493633;32495321;1689;32494492;1032,74;1771,35974;122,87405;1765,97937;mDUX-rep2-peak.17563
chr2;113176096;113177083;988;113176572;969,14;1726,67993;138,90067;1721,32385;mDUX-rep2-peak.16475
chr10;65216105;65217316;1212;65216870;959,65;1704,60254;137,54163;1699,25757;mDUX-rep2-peak.2900
chr1;82402468;82403309;842;82402882;958,7;1702,39746;137,40573;1697,05408;mDUX-rep2-peak.863
chr12;21585497;21587787;2291;21587076;974,84;1691,60339;127,09529;1686,2655;mDUX-rep2-peak.5571
chr3;79762306;79762935;630;79762565;953,96;1691,37793;136,72621;1686,04016;mDUX-rep2-peak.18023
chr12;87618268;87619942;1675;87618740;1055,52;1684,62524;96,04731;1679,29272;mDUX-rep2-peak.6336
chr11;33048485;33049393;909;33048903;1035,59;1654,82861;96,29234;1649,51172;mDUX-rep2-peak.4203
chr12;33228680;33229558;879;33228988;922,63;1623,31384;132,24139;1618,01477;mDUX-rep2-peak.5715
chr12;33234444;33235075;632;33234888;922,63;1623,31384;132,24139;1618,01477;mDUX-rep2-peak.5716
chr8;56748679;56750353;1675;56749911;918,83;1614,56372;131,69778;1609,26929;mDUX-rep2-peak.27101
chr10;67002895;67004222;1328;67003344;1214,99;1614,38391;54,23673;1609,08997;mDUX-rep2-peak.2918
chr12;90561182;90561873;692;90561488;915,04;1608,00623;131,15417;1602,71533;mDUX-rep2-peak.6424
chr5;104108234;104109743;1510;104109156;912,19;1601,45312;130,74646;1596,16724;mDUX-rep2-peak.22331
chr8;83785473;83786389;917;83785943;1010,91;1595,9762;92,37791;1590,69446;mDUX-rep2-peak.27350
chr4;120896364;120897137;774;120896782;1043,18;1579,69275;80,50738;1574,41907;mDUX-rep2-peak.20182
chr12;36164935;36165901;967;36165436;901,75;1577,46155;129,25153;1572,18945;mDUX-rep2-peak.5752
chr4;147306125;147307144;1020;147306737;955,85;1544,89233;99,35142;1539,63818;mDUX-rep2-peak.20926
chr8;64971951;64973272;1322;64972581;884,66;1540,49817;126,80526;1535,24634;mDUX-rep2-peak.27167
chr8;48197382;48198209;828;48197822;983,38;1536,62573;88,843;1531,37622;mDUX-rep2-peak.27040
chr10;70823178;70824194;1017;70823762;1085,9;1526,45337;63,935;1521,21106;mDUX-rep2-peak.2987
chr9;122334467;122335344;878;122334894;877,07;1525,31897;125,71803;1520,0769;mDUX-rep2-peak.29220
chrM;12;16272;16261;14707;2666,33;1520,4646;8,99696;1515,22632;mDUX-rep2-peak.29251
chr7;11477289;11478327;1039;11477870;953,01;1516,56665;93,93519;1511,33093;mDUX-rep2-peak.24746
chr15;37726478;37727358;881;37726942;870,42;1503,59509;122,90898;1498,36743;mDUX-rep2-peak.10926
chr10;117180877;117181957;1081;117181353;866,63;1501,51489;124,22309;1496,28821;mDUX-rep2-peak.3582
chr13;81724664;81726008;1345;81725396;863,78;1495,03357;123,81538;1489,81079;mDUX-rep2-peak.8023
chr2;4292650;4293530;881;4293099;859,98;1486,39844;123,27177;1481,18054;mDUX-rep2-peak.15322
chr9;35394154;35395329;1176;35394650;858,08;1484,24109;122,99995;1479,02539;mDUX-rep2-peak.28180
chr9;109051843;109052610;768;109052209;1138,1;1477,40369;50,33591;1472,1925;mDUX-rep2-peak.29076
chr9;29224473;29226565;2093;29225848;880,87;1472,28784;110,23324;1467,08032;mDUX-rep2-peak.28102
chr2;109041045;109041870;826;109041516;850,49;1466,99939;121,91272;1461,79468;mDUX-rep2-peak.16431
chr4;48743063;48744529;1467;48744018;847,64;1460,54224;121,50502;1455,34192;mDUX-rep2-peak.19415
chr6;32705732;32707116;1385;32706639;841,95;1447,64172;120,6896;1442,44958;mDUX-rep2-peak.23267
chr12;20756418;20758678;2261;20758290;840,05;1445,49341;120,41779;1440,30273;mDUX-rep2-peak.5549
chr2;120353956;120354987;1032;120354561;862,83;1434,56567;107,97887;1429,38416;mDUX-rep2-peak.16557
chr13;54198758;54199748;991;54199227;846,69;1433,59021;114,47595;1428,40967;mDUX-rep2-peak.7507
chr13;58471698;58472455;758;58472116;995,72;1424,42493;67,07404;1419,25122;mDUX-rep2-peak.7565
chr4;18738631;18739385;755;18739044;830,56;1424,03906;119,05875;1418,8656;mDUX-rep2-peak.19140
chr16;82976727;82977534;808;82977113;829,61;1421,89648;118,92285;1416,72437;mDUX-rep2-peak.12466
chr9;60181369;60182227;859;60181766;876,12;1413,46594;97,45776;1408,29956;mDUX-rep2-peak.28506
chr4;116542226;116543186;961;116542656;824,86;1411,19128;118,24333;1406,02649;mDUX-rep2-peak.20112
chr12;74065388;74066051;664;74065769;823,91;1409,05188;118,10743;1403,88843;mDUX-rep2-peak.6128
chr7;83423998;83425270;1273;83424890;822,96;1406,91284;117,97153;1401,75098;mDUX-rep2-peak.25626
chr5;128880965;128881679;715;128881274;993,82;1403,64978;64,48576;1398,49109;mDUX-rep2-peak.22635
chr6;142952118;142953030;913;142952587;873,27;1398,52063;95,133;1393,36548;mDUX-rep2-peak.24476
chr9;122328254;122330422;2169;122328917;817,27;1396,2262;117,15611;1391,07275;mDUX-rep2-peak.29218
chr15;73802172;73803013;842;73802582;1141,9;1393,20142;42,32957;1388,05054;mDUX-rep2-peak.11237
chr11;33062027;33062915;889;33062470;828,66;1389,6759;110,47396;1384,52783;mDUX-rep2-peak.4204
chr3;139812536;139813189;654;139812859;812,52;1385,55273;116,47659;1380,40698;mDUX-rep2-peak.18812
chr3;66456406;66457310;905;66456861;810,62;1381,28711;116,20478;1376,14417;mDUX-rep2-peak.17909
chr6;11760905;11761412;508;11761107;809,68;1379,15515;116,06887;1374,01379;mDUX-rep2-peak.23074
chr12;88251104;88253607;2504;88253000;938,77;1377,27124;72,28983;1372,13171;mDUX-rep2-peak.6392
chr7;51157106;51160190;3085;51158004;808,73;1377,02356;115,93298;1371,88428;mDUX-rep2-peak.25312
chr6;112683823;112684668;846;112684196;807,78;1374,89258;115,79707;1369,75476;mDUX-rep2-peak.24127
chr12;110696023;110696755;733;110696388;1310,86;1371,94275;28,51864;1366,80774;mDUX-rep2-peak.6616
chr1_GL456212_random;69022;70709;1688;69786;877,07;1371,02844;87,80691;1365,8938;mDUX-rep2-peak.15250
chr2;126619725;126620700;976;126620224;826,76;1370,83044;106,35501;1365,69592;mDUX-rep2-peak.16655
chr16;33207144;33208416;1273;33207953;801,13;1362,11841;114,84575;1356,99182;mDUX-rep2-peak.12046
chr6;87473699;87474471;773;87474068;840,05;1361,82312;98,49514;1356,69763;mDUX-rep2-peak.23861
chr18;46356861;46357642;782;46357256;967,24;1360,24109;63,36675;1355,11633;mDUX-rep2-peak.14034
chr15;6545791;6546564;774;6546175;800,18;1359,99133;114,70984;1354,8667;mDUX-rep2-peak.10618
chr18;65184003;65185144;1142;65184741;848,59;1356,53772;94,3992;1351,41663;mDUX-rep2-peak.14239
chr9;49053867;49054794;928;49054340;796,39;1351,48779;114,16623;1346,37012;mDUX-rep2-peak.28382
chr13;7074148;7075291;1144;7074629;795,44;1349,36353;114,03033;1344,24768;mDUX-rep2-peak.6843
chr11;69714429;69715172;744;69714817;963,45;1340,9657;61,42975;1335,85608;mDUX-rep2-peak.4630
chr14;86875927;86876761;835;86876409;789,74;1336,6283;113,2149;1331,52173;mDUX-rep2-peak.10259
chr7;97120225;97121060;836;97120705;789,74;1336,6283;113,2149;1331,52173;mDUX-rep2-peak.25729
chr10;104175663;104177977;2315;104176881;781,2;1319,67871;111,99177;1314,58582;mDUX-rep2-peak.3424
chr10;118943395;118944282;888;118943806;780,25;1317,56274;111,85587;1312,47131;mDUX-rep2-peak.3634
chr3;94093536;94095021;1486;94094549;774,55;1304,87732;111,04044;1299,79602;mDUX-rep2-peak.18257
chr19;53044328;53045911;1584;53045128;794,49;1290,83374;98,74478;1285,76221;mDUX-rep2-peak.15103
chr9;94821409;94822926;1518;94821872;767,91;1290,10315;110,08912;1285,03186;mDUX-rep2-peak.28899
chr4;45295792;45296714;923;45296274;766,96;1284,50305;108,96153;1279,43738;mDUX-rep2-peak.19383
chr10;88373370;88374476;1107;88373788;788,79;1281,23706;98,72408;1276,17432;mDUX-rep2-peak.3208
chr17;27281074;27282199;1126;27281750;805,88;1279,07239;91,7846;1274,01135;mDUX-rep2-peak.12902
chr13;17931704;17932867;1164;17932252;760,32;1275,35693;109,0019;1270,29797;mDUX-rep2-peak.7005
chr5;26067378;26068250;873;26067826;1061,22;1259,07092;39,01045;1254,02454;mDUX-rep2-peak.21564
chr12;88323324;88324655;1332;88324158;750,82;1254,33911;107,64285;1249,29614;mDUX-rep2-peak.6407
chr7;97114028;97115495;1468;97114735;749,88;1252,24036;107,50695;1247,19934;mDUX-rep2-peak.25726
chr7;11608451;11609587;1137;11609081;748,93;1250,14221;107,37106;1245,10315;mDUX-rep2-peak.24757
chr9;94826511;94828160;1650;94827767;746,08;1245,948;106,96334;1240,9137;mDUX-rep2-peak.28900
chr10;83767989;83768993;1005;83768523;744,18;1241,75598;106,69153;1236,72595;mDUX-rep2-peak.3127
chr11;33066434;33068811;2378;33068412;743,23;1239,66089;106,55563;1234,63306;mDUX-rep2-peak.4205
chr10;120413060;120414290;1231;120413813;879,92;1236,20679;62,92263;1231,1825;mDUX-rep2-peak.3655
chr1;16625452;16626479;1028;16625913;740,38;1233,37903;106,14792;1228,35681;mDUX-rep2-peak.170
chr1;85076403;85077638;1236;85077290;737,54;1227,10229;105,74021;1222,08594;mDUX-rep2-peak.930
chr14;51786072;51786803;732;51786441;737,54;1227,10229;105,74021;1222,08594;mDUX-rep2-peak.9870
chr17;25441978;25443285;1308;25442261;902,7;1225,51355;56,80061;1220,49866;mDUX-rep2-peak.12880
chr7;10904726;10905781;1056;10905131;734,69;1220,83118;105,3325;1215,81982;mDUX-rep2-peak.24709
chr10;104193403;104194692;1290;104193900;750,82;1218,87476;97,91929;1213,86511;mDUX-rep2-peak.3431
chr1;153376327;153377371;1045;153376971;733,74;1218,7417;105,19659;1213,73218;mDUX-rep2-peak.1630
chr12;26351239;26352034;796;26351639;732,79;1216,65295;105,06069;1211,64526;mDUX-rep2-peak.5654
chr8;86285877;86288662;2786;86286828;731,84;1214,56494;104,92479;1209,55884;mDUX-rep2-peak.27379
chr17;26502363;26503215;853;26502824;842,9;1211,47839;67,24284;1206,47522;mDUX-rep2-peak.12890
chr8;85702139;85703790;1652;85702718;728,99;1208,3042;104,51707;1203,3031;mDUX-rep2-peak.27375
chr11;88438031;88438912;882;88438450;931,17;1202,5127;49,06179;1197,51746;mDUX-rep2-peak.4877
chr14;86872146;86873672;1527;86872555;725,2;1202,04883;103,97346;1197,05383;mDUX-rep2-peak.10258
chr14;105943086;105943858;773;105943413;723,3;1197,88147;103,70166;1192,88989;mDUX-rep2-peak.10409
chr13;51055163;51056607;1445;51055571;722,35;1195,79895;103,56575;1190,80896;mDUX-rep2-peak.7476
chr5;116556700;116557939;1240;116557393;786,89;1192,10425;78,78942;1187,11755;mDUX-rep2-peak.22492
chr10;45177056;45178349;1294;45177904;720,45;1191,63513;103,29395;1186,64868;mDUX-rep2-peak.2684
chr3;79296955;79297815;861;79297401;716,65;1183,31519;102,75033;1178,33606;mDUX-rep2-peak.18018
chr2;84728705;84729554;850;84729060;763,16;1180,21448;83,53345;1175,23865;mDUX-rep2-peak.16213
chr11;5255028;5256084;1057;5255484;720,45;1175,68103;98,82871;1170,70862;mDUX-rep2-peak.3816
chr7;25843150;25844056;907;25843646;712,86;1175,00476;102,20672;1170,03259;mDUX-rep2-peak.25017
chr4;53334311;53335522;1212;53334704;710,01;1170,85327;101,799;1165,8844;mDUX-rep2-peak.19457
chr12;17865998;17866891;894;17866503;709,06;1168,77832;101,6631;1163,81213;mDUX-rep2-peak.5429
chr5;65574514;65575484;971;65575055;708,11;1166,7041;101,52721;1161,73999;mDUX-rep2-peak.21958
chr19;23263686;23264505;820;23264092;706,21;1162,5575;101,25539;1157,5968;mDUX-rep2-peak.14738
chr7;68803073;68804358;1286;68803803;705,26;1160,48499;101,11949;1155,526;mDUX-rep2-peak.25447
chr2;49179711;49180434;724;49180073;703,36;1156,34204;100,84768;1151,38672;mDUX-rep2-peak.15720
chr2;35595416;35596168;753;35595749;891,31;1155,80066;49,5451;1150,84668;mDUX-rep2-peak.15634
chr13;81719091;81721660;2570;81719716;702,41;1154,27148;100,71178;1149,31836;mDUX-rep2-peak.8022
chr6;69095188;69096652;1465;69096259;702,41;1154,27148;100,71178;1149,31836;mDUX-rep2-peak.23687
chr12;54321318;54322311;994;54321916;700,52;1150,13208;100,43997;1145,18274;mDUX-rep2-peak.5897
chr2;169097388;169098151;764;169097820;726,14;1148,8916;89,32984;1143,94385;mDUX-rep2-peak.17116
chr7;139111655;139112534;880;139112101;706,21;1146,91589;96,87829;1141,96997;mDUX-rep2-peak.26261
chr1;83031013;83031685;673;83031313;693,87;1135,66431;99,48865;1130,72742;mDUX-rep2-peak.878
chr14;105948307;105949819;1513;105949361;693,87;1135,66431;99,48865;1130,72742;mDUX-rep2-peak.10411
chr4;35181004;35181776;773;35181393;693,87;1135,66431;99,48865;1130,72742;mDUX-rep2-peak.19299
chr10;117723455;117724301;847;117723908;700,52;1134,62439;96,09812;1129,68896;mDUX-rep2-peak.3596
chr2;83871559;83872426;868;83872054;692,92;1133,59998;99,35275;1128,66504;mDUX-rep2-peak.16181
chr14;79980097;79980751;655;79980429;691,02;1131,53625;99,08093;1126,60352;mDUX-rep2-peak.10217
chr3;12981099;12981574;476;12981268;691,97;1131,53625;99,21684;1126,60352;mDUX-rep2-peak.17404
chr8;56743517;56744439;923;56743950;691,97;1131,53625;99,21684;1126,60352;mDUX-rep2-peak.27097
chr9;78288575;78289438;864;78288979;691,97;1131,50806;99,20878;1126,57788;mDUX-rep2-peak.28744
chr17;78240602;78241651;1050;78241076;690,07;1129,47327;98,94504;1124,54395;mDUX-rep2-peak.13437
chr19;19870450;19871693;1244;19870745;690,07;1129,47327;98,94504;1124,54395;mDUX-rep2-peak.14700
chr12;99612061;99612866;806;99612405;702,41;1127,82495;93,40255;1122,89771;mDUX-rep2-peak.6492
chr13;50727986;50728571;586;50728207;689,13;1127,41077;98,80914;1122,48364;mDUX-rep2-peak.7469
chr1_GL456212_random;150943;152004;1062;151370;830,56;1123,28235;55,80177;1118,36035;mDUX-rep2-peak.15276
chr2;83972375;83973269;895;83972789;859,03;1119,56592;50,08935;1114,64673;mDUX-rep2-peak.16194
chr2;157242458;157243324;867;157242876;685,33;1119,16736;98,26551;1114,24829;mDUX-rep2-peak.16984
chr9;34446453;34447268;816;34446851;781,2;1115,11707;65,18325;1110,20178;mDUX-rep2-peak.28168
chr10;60551709;60553166;1458;60552728;683,43;1115,04944;97,99371;1110,13416;mDUX-rep2-peak.2844
chr7;11021315;11022455;1141;11021652;680,58;1108,87708;97,586;1103,96741;mDUX-rep2-peak.24716
chr3;57371857;57373454;1598;57372232;679,63;1106,82092;97,45009;1101,91321;mDUX-rep2-peak.17798
chr16;13913660;13914873;1214;13914463;678,68;1104,76538;97,31419;1099,85962;mDUX-rep2-peak.11787
chr2;19475729;19476666;938;19476259;678,68;1104,76538;97,31419;1099,85962;mDUX-rep2-peak.15463
chr19;36953551;36954440;890;36954050;677,74;1102,71069;97,17829;1097,80688;mDUX-rep2-peak.14904
chr8;83744175;83745035;861;83744622;826,76;1102,58008;53,5837;1097,67749;mDUX-rep2-peak.27348
chr12;87921194;87923061;1868;87922572;697,67;1096,85205;87,33357;1091,95435;mDUX-rep2-peak.6365
chr10;110707025;110707967;943;110707504;674,89;1096,55005;96,77058;1091,65247;mDUX-rep2-peak.3500
chr3;93875690;93877458;1769;93876996;674,89;1096,55005;96,77058;1091,65247;mDUX-rep2-peak.18233
chr12;108510924;108511780;857;108511287;748,93;1091,81787;69,52771;1086,92639;mDUX-rep2-peak.6592
chr13;94214618;94215340;723;94214929;674,89;1091,46985;95,3297;1086,57861;mDUX-rep2-peak.8107
chr12;91667365;91668359;995;91667920;751,77;1090,5011;68,43395;1085,61023;mDUX-rep2-peak.6437
chr10;118937300;118939096;1797;118937870;671,09;1090,39539;96,22697;1085,50464;mDUX-rep2-peak.3633
chr12;105758726;105759578;853;105759136;671,09;1090,39539;96,22697;1085,50464;mDUX-rep2-peak.6572
chr6;4910189;4911316;1128;4910828;671,09;1090,39539;96,22697;1085,50464;mDUX-rep2-peak.23002
chr18;69435414;69436221;808;69435816;767,91;1089,24268;64,07584;1084,35364;mDUX-rep2-peak.14313
chr12;87513224;87515106;1883;87514188;670,14;1088,34497;96,09106;1083,45618;mDUX-rep2-peak.6327
chr13;94220391;94221280;890;94220842;704,31;1085,86182;81,99409;1080,97644;mDUX-rep2-peak.8109
chr11;115715222;115716003;782;115715626;696,72;1085,41577;84,83942;1080,53064;mDUX-rep2-peak.5228
chr11;54098195;54099257;1063;54098745;757,47;1083,33936;65,47555;1078,45642;mDUX-rep2-peak.4419
chr5;138693079;138694287;1209;138693853;678,68;1081,11414;90,7577;1076,23291;mDUX-rep2-peak.22748
chr13;99152835;99153596;762;99153189;754,62;1080,35217;65,70618;1075,47144;mDUX-rep2-peak.8207
chrX;56709874;56710669;796;56710251;665,4;1078,10278;95,41154;1073,22412;mDUX-rep2-peak.29538
chr13;10180517;10181344;828;10180940;663,5;1074,01062;95,13973;1069,13562;mDUX-rep2-peak.6866
chr11;89030040;89030865;826;89030436;930,22;1071,0116;35,81634;1066,13965;mDUX-rep2-peak.4907
chr9;122660428;122661287;860;122660822;660,65;1067,87695;94,73203;1063,00757;mDUX-rep2-peak.29224
chr13;73107029;73108209;1181;73107718;718,55;1067,59131;73,27406;1062,72302;mDUX-rep2-peak.7932
chr1;82396270;82397773;1504;82396905;660,65;1067,13794;94,52135;1062,2699;mDUX-rep2-peak.861
chr8;111656698;111658335;1638;111657773;662,55;1065,0155;93,03812;1060,14941;mDUX-rep2-peak.27667
chr7;138916650;138917680;1031;138917101;716,65;1059,4071;72,15491;1054,54651;mDUX-rep2-peak.26258
chr13;17367834;17368462;629;17368136;655,9;1057,66772;94,05251;1052,80786;mDUX-rep2-peak.6999
chr13;18638908;18640565;1658;18639576;655,9;1057,66772;94,05251;1052,80786;mDUX-rep2-peak.7030
chr15;81145266;81146163;898;81145635;654,95;1055,62781;93,9166;1050,76965;mDUX-rep2-peak.11320
chr1;85172315;85173073;759;85172673;652,11;1051,55005;93,5089;1046,69739;mDUX-rep2-peak.948
chr2;153200944;153201791;848;153201300;711,91;1049,89368;71,67773;1045,04285;mDUX-rep2-peak.16924
chr1;165086629;165087826;1198;165087399;651,16;1049,51221;93,37299;1044,66162;mDUX-rep2-peak.1774
chr1;82007561;82008414;854;82008001;650,21;1047,47498;93,23708;1042,62659;mDUX-rep2-peak.853
chr7;59257822;59258591;770;59258225;650,21;1047,47498;93,23708;1042,62659;mDUX-rep2-peak.25345
chr2;83955021;83955853;833;83955358;829,61;1045,79163;45,58774;1040,94482;mDUX-rep2-peak.16188
chr8;61243140;61243910;771;61243584;649,26;1045,43835;93,10118;1040,5918;mDUX-rep2-peak.27133
chr16;54304221;54304928;708;54304649;647,36;1041,36719;92,82938;1036,52441;mDUX-rep2-peak.12279
chr8;64977337;64978956;1620;64978563;647,36;1041,36719;92,82938;1036,52441;mDUX-rep2-peak.27169
chr1;88219887;88220967;1081;88220535;666,34;1038,93518;84,37789;1034,09558;mDUX-rep2-peak.1044
chr5;101989204;101990310;1107;101989822;645,46;1037,29871;92,55756;1032,45972;mDUX-rep2-peak.22300
chr6;144949941;144950702;762;144950320;908,39;1036,55774;34,97665;1031,72021;mDUX-rep2-peak.24499
chr10;60546395;60547276;882;60546772;644,51;1035,26562;92,42166;1030,42859;mDUX-rep2-peak.2843
chr12;101966886;101967758;873;101967305;644,51;1035,26562;92,42166;1030,42859;mDUX-rep2-peak.6526
chr9;122665310;122667307;1998;122666769;643,56;1033,23303;92,28576;1028,39783;mDUX-rep2-peak.29225
chr14;35720971;35722177;1207;35721853;641,67;1029,17004;92,01395;1024,33862;mDUX-rep2-peak.9547
chr16;54298364;54299242;879;54298700;641,67;1029,17004;92,01395;1024,33862;mDUX-rep2-peak.12278
